pc4,pc4name,mun,munname,pricem2,distcbd,shhistdistr,popdens,shforeign,shlandinfr,shlandres,shlandmanuf,shlandother,shopenspace,shyoungp,shelderly,hhsize,dumRS,RSdistcbd,_est_Netherlands,_est_Model2,_est_Model3,_est_Model4,lnpricem2,lndistcbd,lnRSdistcbd
8489,SCHERPENZEEL-SPANGA,98,Weststellingwerf,44.05398927516174,28.03786155844,0,2.757300336693944,0,.1161616161616162,0,0,0,.8838383838383839,.1428571428571428,.1428571428571428,2.57,0,0,1,1,1,1,3.7854159,3.3335557,0
4904,OOSTERHEIDE,826,Oosterhout,223.2605276934388,2.2621017329,0,12.85499113241456,.2345564328843474,.0346995984544284,.1853928327903629,.1006894461701644,.0534889006742935,.6257292219107509,.2419879238272178,.1788202508128193,2.29,0,0,1,1,1,1,5.4083395,.81629437,0
2581,GEUZENKWARTIER,518,'s-Gravenhage (gemeente),892.4821101764376,3.39914625311,.9832567333821827,139.2565608560447,.2182985553772071,.0167597765363128,.9106145251396648,0,0,.0726256983240224,.2295345104333869,.1284109149277688,2.14,1,3.3991463,1,1,1,1,6.7940063,1.2235243,4.1589384
5831,BOXMEER,756,Boxmeer,170.6968994376739,22.61965375243,0,10.70245338669353,.1551312649164678,.0523296715190216,.2060176416472753,.1134260511932464,.027057741219763,.6011688944206938,.2366746221161496,.1682577565632458,2.35,0,0,1,1,1,1,5.1398892,3.1188192,0
8251,LANDELIJK GEBIED DRONTEN,303,Dronten,146.0995442811824,11.86340998238,0,.9228993141742975,.1883830455259027,.0176409147209436,.0164854971992679,.0101029708095317,.0031519789991311,.9526186382711257,.2590266875981161,.1405023547880691,2.19,0,0,1,1,1,1,4.9842882,2.4734588,0
1931,EGMOND AAN ZEE,373,Bergen (NH.),302.4293527514493,7.94959853578,0,6.659017454640381,.0884691848906561,.0082608695652174,.1004347826086956,.0093913043478261,.0007826086956522,.8811304347826087,.1769383697813121,.2326043737574553,2.09,0,0,1,1,1,1,5.7118478,2.0731215,0
1216,KERKELANDEN,402,Hilversum,461.3824550541168,2.60086990063,0,36.97183196358538,.1576242147344375,.0579192972824595,.4144935492725775,.2670875651935218,.0076859730990942,.252813615152347,.1907481439177613,.2781267846944603,2.01,0,0,1,1,1,1,6.1342273,.95584595,0
5283,MUNSEL - SELISSEN,757,Boxtel,226.739646647307,10.10488047282,0,10.44424633272778,.1403297145154805,.0568102569604635,.1478461455930476,.0359959229655061,.0076176170806287,.751730057400354,.2726176115802171,.0864495375954966,2.58,0,0,1,1,1,1,5.4238024,2.3130186,0
9631,BORGERCOMPAGNIE - VEENDAM BUITENGEBIED,47,Veendam,21.37312404358934,21.13519929785,0,.453129792988715,.0352941176470588,.0125376815565908,.0049328583173472,.0103453000822143,.0596738832556865,.9125102767881611,.2235294117647059,.0823529411764706,2.51,0,0,1,1,1,1,3.0621343,3.0509398,0
2632,NOOTDORP EN OMGEVING NOORD,1926,Pijnacker-Nootdorp,491.3805917908257,4.413952239209999,0,61.76765984867628,.2400690846286701,.0717131474103586,.5949535192563081,.1713147410358566,.0796812749003984,.0823373173970783,.2970639032815199,.0518134715025907,2.55,0,0,1,1,1,1,6.1972189,1.4847705,0
